datetime,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,fog,rain,snow,hail,thunder,tornado
20160112T0900,25,76,14,57,41,14.8,9.2,,,110,ESE,2,1,1013,29.92,-999,-999,-9999,-9999,,,Haze,0,0,0,0,0,0
20160112T1000,25.0,77.0,14.0,57.2,50,13.0,8.1,-9999.0,-9999.0,140,SE,3.0,1.9,1013,29.92,-999,-999,-9999,-9999,-9999.00,-9999.00,Haze,0,0,0,0,0,0
20160112T1100,24.0,75.2,15.0,59.0,57,9.3,5.8,-9999.0,-9999.0,90,East,3.0,1.9,1013,29.92,-999,-999,-9999,-9999,-9999.00,-9999.00,Haze,0,0,0,0,0,0
20160112T1200,22,72,14,57,49,7.4,4.6,,,140,SE,2,1,1013,29.91,-999,-999,-9999,-9999,,,Haze,0,0,0,0,0,0
20160112T1300,20.0,68.0,13.0,55.4,64,3.7,2.3,-9999.0,-9999.0,90,East,2.0,1.2,1014,29.95,-999,-999,-9999,-9999,-9999.00,-9999.00,Haze,0,0,0,0,0,0
20160112T1500,16,61,13,56,79,0.0,0.0,,,,,2,1,1015,29.96,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160112T1800,13,56,12,54,91,0.0,0.0,,,,,2,1,1015,29.97,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160112T2100,13,55,12,54,94,5.6,3.5,,,90,East,1,1,1014,29.94,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160113T0000,14,58,14,56,92,5.6,3.5,,,90,East,1,1,1013,29.92,-999,-999,-9999,-9999,,,Mist,0,0,0,0,0,0
20160113T0200,15.0,59.0,13.0,55.4,88,3.7,2.3,-9999.0,-9999.0,130,SE,0.7,0.4,1014,29.95,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160113T0300,16,60,14,56,83,7.4,4.6,,,110,ESE,0.5,0,1015,29.99,-999,-999,-9999,-9999,,,Light Drizzle,0,1,0,0,0,0
20160113T0300,16.0,60.8,13.0,55.4,82,7.4,4.6,-9999.0,-9999.0,110,ESE,0.8,0.5,1015,29.98,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160113T0400,17.0,62.6,13.0,55.4,77,11.1,6.9,-9999.0,-9999.0,140,SE,0.8,0.5,1016,30.01,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160113T0600,21,70,14,57,55,5.6,3.5,,,140,SE,1,1,1015,29.98,-999,-999,-9999,-9999,,,Smoke,0,0,0,0,0,0
20160113T0700,21.0,69.8,15.0,59.0,68,0.0,0.0,-9999.0,-9999.0,0,North,1.2,0.7,1015,29.98,-999,-999,-9999,-9999,-9999.00,-9999.00,Smoke,0,0,0,0,0,0
20160113T0800,22.0,71.6,14.0,57.2,60,3.7,2.3,-9999.0,-9999.0,320,NW,1.0,0.6,1014,29.95,-999,-999,-9999,-9999,-9999.00,-9999.00,Smoke,0,0,0,0,0,0
20160113T0900,23,73,14,57,48,0.0,0.0,,,,,1,1,1013,29.91,-999,-999,-9999,-9999,,,Smoke,0,0,0,0,0,0
20160113T0900,23.0,73.4,14.0,57.2,57,0.0,0.0,-9999.0,-9999.0,0,North,1.0,0.6,1013,29.92,-999,-999,-9999,-9999,-9999.00,-9999.00,Smoke,0,0,0,0,0,0
20160113T1000,23.0,73.4,15.0,59.0,61,1.9,1.2,-9999.0,-9999.0,20,NNE,1.0,0.6,1013,29.92,-999,-999,-9999,-9999,-9999.00,-9999.00,Smoke,0,0,0,0,0,0
20160113T1100,20.0,68.0,16.0,60.8,78,9.3,5.8,-9999.0,-9999.0,270,West,0.5,0.3,1014,29.95,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160113T1200,19,66,15,59,71,3.7,2.3,,,270,West,0.5,0,1013,29.92,-999,-999,-9999,-9999,,,Patches of Fog,1,0,0,0,0,0
20160113T1200,19.0,66.2,15.0,59.0,78,3.7,2.3,-9999.0,-9999.0,270,West,0.5,0.3,1013,29.92,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
20160113T1300,18.0,64.4,15.0,59.0,83,7.4,4.6,-9999.0,-9999.0,260,West,0.5,0.3,1014,29.95,-999,-999,-9999,-9999,-9999.00,-9999.00,Fog,1,0,0,0,0,0
